"","global_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Global",2020-01-22,557,557,17,17,0,0,7.6e+09,0.1,0.1,0,0
"2","Global",2020-01-26,2120,1563,56,39,1,1,7.6e+09,0.3,0.2,0,0
"3","Global",2020-02-02,16787,14667,364,308,2,2,7.6e+09,2.2,1.9,0,0
"4","Global",2020-02-09,40162,23375,908,544,3,3,7.6e+09,5.3,3.1,0.1,0.1
"5","Global",2020-02-16,71238,31076,1772,864,4,4,7.6e+09,9.4,4.1,0.2,0.1
"6","Global",2020-02-23,78990,7752,2473,701,5,5,7.6e+09,10.4,1,0.3,0.1
"7","Global",2020-03-01,88402,9412,3000,527,6,6,7.6e+09,11.6,1.2,0.4,0.1
"8","Global",2020-03-08,109942,21540,3815,815,7,7,7.6e+09,14.5,2.8,0.5,0.1
"9","Global",2020-03-15,168598,58656,6556,2741,8,8,7.6e+09,22.2,7.7,0.9,0.4
"10","Global",2020-03-22,339156,170558,15424,8872,9,9,7.6e+09,44.6,22.4,2,1.2
"11","Global",2020-03-29,725918,386773,37671,22247,10,10,7.6e+09,95.5,50.9,5,2.9
"12","Global",2020-04-05,1252349,526431,78863,41192,11,11,7.6e+09,164.8,69.3,10.4,5.4
"13","Global",2020-04-12,1845530,593181,130406,51543,12,12,7.6e+09,242.8,78.1,17.2,6.8
"14","Global",2020-04-19,2416866,571336,182159,51753,13,13,7.6e+09,318,75.2,24,6.8
"15","Global",2020-04-26,2971415,554549,228116,45957,14,14,7.6e+09,391,73,30,6
"16","Global",2020-05-03,3520326,548911,269300,41184,15,15,7.6e+09,463.2,72.2,35.4,5.4
"17","Global",2020-05-10,4106365,586039,308128,38828,16,16,7.6e+09,540.3,77.1,40.5,5.1
"18","Global",2020-05-17,4716498,610133,343303,35175,17,17,7.6e+09,620.6,80.3,45.2,4.6
"19","Global",2020-05-24,5417010,700689,376670,33367,18,18,7.6e+09,712.8,92.2,49.6,4.4
"20","Global",2020-05-31,6179372,762362,406159,31114,19,19,7.6e+09,813.1,100.3,53.4,4.1
"21","Global",2020-06-07,7025846,846474,438766,32608,20,20,7.6e+09,924.5,111.4,57.7,4.3
"22","Global",2020-06-14,7921585,895739,471751,32985,21,21,7.6e+09,1042.3,117.9,62.1,4.3
"23","Global",2020-06-21,8936637,1015052,509255,37504,22,22,7.6e+09,1175.9,133.6,67,4.9
"24","Global",2020-06-28,10135501,1198864,542734,33479,23,23,7.6e+09,1333.6,157.7,71.4,4.4
"25","Global",2020-07-05,11470778,1335278,576776,34042,24,24,7.6e+09,1509.3,175.7,75.9,4.5
"26","Global",2020-07-12,12927428,1456650,614074,37298,25,25,7.6e+09,1701,191.7,80.8,4.9
"27","Global",2020-07-19,14502318,1574890,655042,40969,26,26,7.6e+09,1908.2,207.2,86.2,5.4
"28","Global",2020-07-26,16253349,1751082,696315,41273,27,27,7.6e+09,2138.6,230.4,91.6,5.4
"29","Global",2020-08-02,18068172,1814823,739245,42946,28,28,7.6e+09,2377.4,238.8,97.3,5.7
"30","Global",2020-08-09,19882007,1813835,783461,44216,29,29,7.6e+09,2616.1,238.7,103.1,5.8
"31","Global",2020-08-16,21712019,1830012,826618,43157,30,30,7.6e+09,2856.8,240.8,108.8,5.7
"32","Global",2020-08-23,23461372,1749353,867043,40864,31,31,7.6e+09,3087,230.2,114.1,5.4
"33","Global",2020-08-30,25267936,1807714,907098,40153,32,32,7.6e+09,3324.7,237.9,119.4,5.3
"34","Global",2020-09-06,27170739,1902810,945604,38510,33,33,7.6e+09,3575.1,250.4,124.4,5.1
"35","Global",2020-09-13,29077958,1907219,987642,42052,34,34,7.6e+09,3826,250.9,130,5.5
"36","Global",2020-09-20,31120883,2042925,1025445,37803,35,35,7.6e+09,4094.9,268.8,134.9,5
"37","Global",2020-09-27,33160194,2039311,1063569,38124,36,36,7.6e+09,4363.2,268.3,139.9,5
"38","Global",2020-10-04,35236550,2076356,1103555,39986,37,37,7.6e+09,4636.4,273.2,145.2,5.3
"39","Global",2020-10-11,37577724,2341174,1144107,40553,38,38,7.6e+09,4944.4,308,150.5,5.3
"40","Global",2020-10-18,40088461,2510737,1181875,37768,39,39,7.6e+09,5274.8,330.4,155.5,5
"41","Global",2020-10-25,43082560,2994099,1223600,41725,40,40,7.6e+09,5668.8,394,161,5.5
"42","Global",2020-11-01,46589804,3507244,1271040,47440,41,41,7.6e+09,6130.2,461.5,167.2,6.2
"43","Global",2020-11-08,50528081,3938278,1328963,57923,42,42,7.6e+09,6648.4,518.2,174.9,7.6
"44","Global",2020-11-15,54612167,4084086,1392449,63486,43,43,7.6e+09,7185.8,537.4,183.2,8.4
"45","Global",2020-11-22,58781075,4168908,1462809,70360,44,44,7.6e+09,7734.4,548.5,192.5,9.3
"46","Global",2020-11-29,62910214,4129139,1535700,72891,45,45,7.6e+09,8277.7,543.3,202.1,9.6
"47","Global",2020-12-06,67245236,4335022,1613462,77762,46,46,7.6e+09,8848.1,570.4,212.3,10.2
"48","Global",2020-12-13,72464911,5219675,1691593,78131,47,47,7.6e+09,9534.9,686.8,222.6,10.3
"49","Global",2020-12-20,77025290,4560379,1773781,82188,48,48,7.6e+09,10134.9,600,233.4,10.8
"50","Global",2020-12-27,81037499,4012209,1848189,74408,49,49,7.6e+09,10662.8,527.9,243.2,9.8
"51","Global",2021-01-03,85461637,4424138,1928569,80380,50,50,7.6e+09,11245,582.1,253.8,10.6
"52","Global",2021-01-10,90614140,5152503,2021943,93374,51,51,7.6e+09,11922.9,678,266,12.3
"53","Global",2021-01-17,95391710,4777570,2120987,99044,52,52,7.6e+09,12551.5,628.6,279.1,13
"54","Global",2021-01-24,99559646,4167936,2222589,101602,53,53,7.6e+09,13100,548.4,292.4,13.4
"55","Global",2021-01-31,103319006,3759360,2323193,100604,54,54,7.6e+09,13594.6,494.7,305.7,13.2
"56","Global",2021-02-07,106547934,3228928,2413887,90694,55,55,7.6e+09,14019.5,424.9,317.6,11.9
"57","Global",2021-02-14,109298181,2750247,2496591,82704,56,56,7.6e+09,14381.3,361.9,328.5,10.9
"58","Global",2021-02-21,111840345,2542164,2566393,69802,57,57,7.6e+09,14715.8,334.5,337.7,9.2
"59","Global",2021-02-28,114573038,2732693,2634261,67868,58,58,7.6e+09,15075.4,359.6,346.6,8.9
"60","Global",2021-03-07,117329648,2796151,2698969,64708,59,59,7.6e+09,15438.1,367.9,355.1,8.5
"61","Global",2021-03-14,120307644,2977996,2761403,62435,60,60,7.6e+09,15830,391.8,363.3,8.2
"62","Global",2021-03-21,123723851,3416207,2829059,67656,61,61,7.6e+09,16279.5,449.5,372.2,8.9
"63","Global",2021-03-28,127649908,3926057,2900978,71919,62,62,7.6e+09,16796,516.6,381.7,9.5
"64","Global",2021-04-04,131800104,4150196,2974193,73215,63,63,7.6e+09,17342.1,546.1,391.3,9.6
"65","Global",2021-04-11,136531313,4731209,3061045,86852,64,64,7.6e+09,17964.6,622.5,402.8,11.4
"66","Global",2021-04-18,141895372,5364059,3147624,86580,65,65,7.6e+09,18670.4,705.8,414.2,11.4
"67","Global",2021-04-25,147674695,5779323,3240893,93269,66,66,7.6e+09,19430.9,760.4,426.4,12.3
"68","Global",2021-05-02,153369236,5694541,3336995,96102,67,67,7.6e+09,20180.2,749.3,439.1,12.6
"69","Global",2021-05-09,158831938,5462703,3430525,93530,68,68,7.6e+09,20898.9,718.8,451.4,12.3
"70","Global",2021-05-16,163573170,4741232,3518983,88458,69,69,7.6e+09,21522.8,623.8,463,11.6
"71","Global",2021-05-23,167370868,4071727,3605294,86311,70,70,7.6e+09,22022.5,535.8,474.4,11.4
"72","Global",2021-05-30,170846064,3475196,3684409,79115,71,71,7.6e+09,22479.7,457.3,484.8,10.4
"73","Global",2021-06-06,173805784,2959720,3757773,73364,72,72,7.6e+09,22869.2,389.4,494.4,9.7
"74","Global",2021-06-13,176462527,2656743,3833495,75722,73,73,7.6e+09,23218.8,349.6,504.4,10
"75","Global",2021-06-20,178986882,2524355,3895740,62248,74,74,7.6e+09,23550.9,332.2,512.6,8.2
"76","Global",2021-06-27,181591700,2604818,3952584,56844,75,75,7.6e+09,23893.6,342.7,520.1,7.5
"77","Global",2021-07-04,184286152,2694452,4006994,54411,76,76,7.6e+09,24248.2,354.5,527.2,7.2
"78","Global",2021-07-11,187366475,3080323,4062962,55979,77,77,7.6e+09,24653.5,405.3,534.6,7.4
"79","Global",2021-07-18,190946724,3580249,4119573,56611,78,78,7.6e+09,25124.6,471.1,542,7.4
"80","Global",2021-07-25,194695946,3749222,4189334,69761,79,79,7.6e+09,25617.9,493.3,551.2,9.2
"81","Global",2021-08-01,198869733,4173787,4253874,64540,80,80,7.6e+09,26167.1,549.2,559.7,8.5
"82","Global",2021-08-08,203291299,4421566,4320477,66614,81,81,7.6e+09,26748.9,581.8,568.5,8.8
"83","Global",2021-08-15,207818211,4526912,4388505,68028,82,82,7.6e+09,27344.5,595.6,577.4,9
"84","Global",2021-08-22,212410065,4591854,4458541,70036,83,83,7.6e+09,27948.7,604.2,586.7,9.2
"85","Global",2021-08-29,217003569,4593504,4528203,69662,84,84,7.6e+09,28553.1,604.4,595.8,9.2
"86","Global",2021-09-05,221361837,4358268,4595799,67596,85,85,7.6e+09,29126.6,573.5,604.7,8.9
"87","Global",2021-09-12,225269884,3908047,4658490,62691,86,86,7.6e+09,29640.8,514.2,613,8.2
"88","Global",2021-09-19,229060140,3790256,4720185,61695,87,87,7.6e+09,30139.5,498.7,621.1,8.1
"89","Global",2021-09-26,232439197,3379169,4777186,57001,88,88,7.6e+09,30584.1,444.6,628.6,7.5
"90","Global",2021-10-03,235535203,3096006,4831388,54202,89,89,7.6e+09,30991.5,407.4,635.7,7.1
"91","Global",2021-10-10,238507949,2972746,4881256,49868,90,90,7.6e+09,31382.6,391.2,642.3,6.6
"92","Global",2021-10-17,241359651,2851702,4929033,47777,91,91,7.6e+09,31757.8,375.2,648.6,6.3
"93","Global",2021-10-24,244338852,2979201,4978754,49721,92,92,7.6e+09,32149.8,392,655.1,6.5
"94","Global",2021-10-31,247442118,3103266,5029939,51185,93,93,7.6e+09,32558.2,408.3,661.8,6.7
"95","Global",2021-11-07,250636007,3193889,5079407,49468,94,94,7.6e+09,32978.4,420.2,668.3,6.5
"96","Global",2021-11-14,254089365,3453358,5130308,50901,95,95,7.6e+09,33432.8,454.4,675,6.7
"97","Global",2021-11-21,257895028,3805663,5181167,50859,96,96,7.6e+09,33933.6,500.7,681.7,6.7
"98","Global",2021-11-28,261874376,3979348,5230801,49639,97,97,7.6e+09,34457.2,523.6,688.3,6.5
"99","Global",2021-12-05,266244801,4370425,5287713,56912,98,98,7.6e+09,35032.2,575.1,695.8,7.5
"100","Global",2021-12-12,270563943,4319142,5338377,50664,99,99,7.6e+09,35600.5,568.3,702.4,6.7
"101","Global",2021-12-19,275147100,4583157,5386688,48311,100,100,7.6e+09,36203.6,603,708.8,6.4
"102","Global",2021-12-26,280751101,5604001,5433007,46319,101,101,7.6e+09,36940.9,737.4,714.9,6.1
"103","Global",2022-01-02,290919876,10168775,5476944,43937,102,102,7.6e+09,38278.9,1338,720.7,5.8
"104","Global",2022-01-09,308230520,17310644,5523152,46208,103,103,7.6e+09,40556.6,2277.7,726.7,6.1
"105","Global",2022-01-16,329061805,20831288,5574956,51804,104,104,7.6e+09,43297.6,2741,733.5,6.8
"106","Global",2022-01-23,352351685,23289880,5631231,56275,105,105,7.6e+09,46362.1,3064.5,741,7.4
"107","Global",2022-01-30,375565200,23213515,5697407,66176,106,106,7.6e+09,49416.5,3054.4,749.7,8.7
"108","Global",2022-02-06,395757302,20193514,5771380,73973,107,107,7.6e+09,52073.3,2657,759.4,9.7
"109","Global",2022-02-13,412090588,16333286,5846238,74858,108,108,7.6e+09,54222.4,2149.1,769.2,9.8
"110","Global",2022-02-20,424913269,12822681,5917841,71603,109,109,7.6e+09,55909.6,1687.2,778.7,9.4
"111","Global",2022-02-27,435942111,11028842,5978575,60734,110,110,7.6e+09,57360.8,1451.2,786.7,8
"112","Global",2022-03-06,446761148,10819037,6029654,51080,111,111,7.6e+09,58784.4,1423.6,793.4,6.7
"113","Global",2022-03-13,458579443,11818295,6074617,45045,112,112,7.6e+09,60339.4,1555,799.3,5.9
"114","Global",2022-03-20,471015399,12435956,6112490,37873,113,113,7.6e+09,61975.7,1636.3,804.3,5
"115","Global",2022-03-27,482135418,11120019,6159618,47128,114,114,7.6e+09,63438.9,1463.2,810.5,6.2
"116","Global",2022-04-03,491767387,9631969,6187356,27738,115,115,7.6e+09,64706.2,1267.4,814.1,3.6
"117","Global",2022-04-10,499123319,7355932,6211577,24221,116,116,7.6e+09,65674.1,967.9,817.3,3.2
"118","Global",2022-04-17,504737969,5614774,6230942,19365,117,117,7.6e+09,66412.9,738.8,819.9,2.5
"119","Global",2022-04-24,509582715,4844746,6248311,17369,118,118,7.6e+09,67050.4,637.5,822.1,2.3
"120","Global",2022-05-01,513584973,4002258,6265952,17642,119,119,7.6e+09,67577,526.6,824.5,2.3
"121","Global",2022-05-08,517126452,3541479,6279999,14048,120,120,7.6e+09,68043,466,826.3,1.8
"122","Global",2022-05-15,521160584,4034132,6291657,11658,121,121,7.6e+09,68573.8,530.8,827.8,1.5
"123","Global",2022-05-22,524995480,3834896,6302853,11196,122,122,7.6e+09,69078.4,504.6,829.3,1.5
"124","Global",2022-05-29,528352057,3356577,6313411,10558,123,123,7.6e+09,69520,441.7,830.7,1.4
"125","Global",2022-06-05,531653208,3301151,6322841,9430,124,124,7.6e+09,69954.4,434.4,832,1.2
"126","Global",2022-06-12,535034670,3381462,6333134,10293,125,125,7.6e+09,70399.3,444.9,833.3,1.4
"127","Global",2022-06-19,538769243,3734573,6343084,9950,126,126,7.6e+09,70890.7,491.4,834.6,1.3
"128","Global",2022-06-26,543309790,4540547,6353424,10340,127,127,7.6e+09,71488.1,597.4,836,1.4
"129","Global",2022-07-03,548810048,5500258,6363481,10057,128,128,7.6e+09,72211.8,723.7,837.3,1.3
"130","Global",2022-07-10,555072983,6262935,6376035,12554,129,129,7.6e+09,73035.9,824.1,839,1.7
"131","Global",2022-07-17,561811191,6738208,6389324,13289,130,130,7.6e+09,73922.5,886.6,840.7,1.7
"132","Global",2022-07-24,569552010,7741589,6405031,15707,131,131,7.6e+09,74941.1,1018.6,842.8,2.1
"133","Global",2022-07-31,576726221,7174211,6420988,15957,132,132,7.6e+09,75885,944,844.9,2.1
"134","Global",2022-08-07,583951861,7225939,6438167,17179,133,133,7.6e+09,76835.8,950.8,847.1,2.3
"135","Global",2022-08-14,589670774,5718913,6454784,16617,134,134,7.6e+09,77588.3,752.5,849.3,2.2
"136","Global",2022-08-21,595369491,5698717,6471864,17080,135,135,7.6e+09,78338.1,749.8,851.6,2.2
"137","Global",2022-08-28,600257310,4887819,6486226,14670,136,136,7.6e+09,78981.2,643.1,853.5,1.9
