"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"28","Afghanistan",2022-08-28,137,192463,1820,7777,15,4944.1,46.8,199.8,0.4,126,124
"171","Albania",2022-08-28,137,328515,2438,3581,5,114147,847.1,1244.3,1.7,126,126
"279","Algeria",2022-08-28,137,270194,389,6878,0,6161.6,8.9,156.8,0,127,127
"439","Andorra",2022-08-28,137,46027,52,154,0,597753.2,675.3,2000,0,127,125
"527","Angola",2022-08-28,137,102636,0,1917,0,3122.9,0,58.3,0,115,113
"677","Antarctica",2022-08-28,137,11,0,0,0,NA,NA,NA,NA,0,0
"713","Antigua and Barbuda",2022-08-28,137,8949,54,145,1,91316.3,551,1479.6,10.2,100,79
"904","Argentina",2022-08-28,137,9678225,19834,129711,65,214139,438.8,2870,1.4,127,126
"1055","Armenia",2022-08-28,137,432274,1913,8648,5,145890.7,645.6,2918.7,1.7,127,124
"1080","Australia",2022-08-28,137,10005856,83607,13760,391,392386.5,3278.7,539.6,15.3,128,126
"1232","Austria",2022-08-28,137,4934634,35680,20613,67,547927.4,3961.8,2288.8,7.4,128,127
"1404","Azerbaijan",2022-08-28,137,812116,3547,9805,20,80098.2,349.8,967.1,2,126,124
"1563","Bahrain",2022-08-28,137,671055,1405,1514,1,394274.4,825.5,889.5,0.6,128,119
"1711","Bangladesh",2022-08-28,137,2011317,1347,29323,8,12212.8,8.2,178.1,0,124,124
"1742","Barbados",2022-08-28,137,100762,1190,539,9,351087.1,4146.3,1878,31.4,111,82
"1873","Belarus",2022-08-28,137,994037,0,7118,0,105200.2,0,753.3,0,125,124
"2102","Belgium",2022-08-28,137,4477770,11675,32496,60,386347.7,1007.3,2803.8,5.2,129,127
"2187","Belize",2022-08-28,137,68187,226,680,0,171324.1,567.8,1708.5,0,107,104
"2379","Benin",2022-08-28,137,27316,0,163,0,2253.2,0,13.4,0,120,114
"2458","Bhutan",2022-08-28,137,60898,119,21,0,78883.4,154.1,27.2,0,108,21
"2514","Bolivia",2022-08-28,137,1100112,6894,22195,24,94244.2,590.6,1901.4,2.1,125,125
"2761","Bosnia and Herzegovina",2022-08-28,137,395086,1851,16026,46,120416.3,564.2,4884.5,14,127,125
"2773","Botswana",2022-08-28,137,325864,14,2778,1,138547.6,6,1181.1,0.4,112,102
"3023","Brazil",2022-08-28,137,34368909,104672,683397,1039,161691.1,492.4,3215.1,4.9,128,127
"3074","Brunei",2022-08-28,137,220245,4962,225,0,503993.1,11354.7,514.9,0,126,51
"3191","Bulgaria",2022-08-28,137,1239870,6110,37588,44,178449.9,879.4,5409.9,6.3,127,125
"3327","Burkina Faso",2022-08-28,137,21128,0,387,0,1010.8,0,18.5,0,126,126
"3486","Burma",2022-08-28,137,614962,389,19437,0,11302.4,7.1,357.2,0,123,102
"3566","Burundi",2022-08-28,137,49063,255,38,0,4126.1,21.4,3.2,0,114,55
"3720","Cambodia",2022-08-28,137,137555,129,3056,0,8227.5,7.7,182.8,0,126,74
"3917","Cameroon",2022-08-28,137,121652,685,1935,2,4582.7,25.8,72.9,0.1,126,124
"3995","Canada",2022-08-28,137,4188424,20705,44059,304,110975.1,548.6,1167.4,8.1,129,127
"4092","Cape Verde",2022-08-28,137,62310,22,410,0,112068.3,39.6,737.4,0,122,113
"4304","Central African Republic",2022-08-28,137,14862,59,113,0,3077,12.2,23.4,0,120,114
"4355","Chad",2022-08-28,137,7491,33,193,0,456,2,11.7,0,121,121
"4472","Chile",2022-08-28,137,4494404,52331,60412,210,235112.2,2737.5,3160.3,11,128,125
"4657","Colombia",2022-08-28,137,6299595,6465,141519,113,123805.5,127.1,2781.3,2.2,127,126
"4812","Comoros",2022-08-28,137,8445,36,161,0,9706.9,41.4,185.1,0,117,86
"4945","Costa Rica",2022-08-28,137,1079825,10663,8836,28,211979.8,2093.2,1734.6,5.5,127,119
"5002","Cote d'Ivoire",2022-08-28,137,86640,200,817,0,3284.6,7.6,31,0,126,122
"5143","Croatia",2022-08-28,137,1211920,5333,16658,87,295230.2,1299.1,4058,21.2,127,125
"5282","Cuba",2022-08-28,137,1110407,415,8530,0,98031.9,36.6,753.1,0,126,124
"5423","Cyprus",2022-08-28,137,576278,2154,1168,16,477446.6,1784.6,967.7,13.3,126,124
